Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Application ID,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee Source
31,Voluntary Resignation,Travel_Frequently,1060,Sales,1,3,Life Sciences,,15254,138709,4,Female,54,3,1,Sales Representative,,Single,2302,8319,1,Y,Yes,11,3,1,80,0,3,2,4,3,2,2,2,LinkedIn
31,Voluntary Resignation,Travel_Frequently,1060,Sales,1,3,Life Sciences,1,15256,138711,4,Female,54,3,1,Sales Representative,2,Single,2302,8319,8,Y,Yes,11,3,1,80,0,3,2,4,3,2,2,2,LinkedIn
31,Voluntary Resignation,Travel_Frequently,1060,Sales,1,3,Life Sciences,1,15260,138715,4,Female,54,3,1,Sales Representative,2,Single,2302,8319,1,Y,Yes,11,3,1,80,0,3,2,4,3,2,2,2,LinkedIn
31,Voluntary Resignation,Travel_Frequently,1060,Sales,1,3,Life Sciences,1,15261,138716,4,Female,54,3,1,Sales Representative,2,Single,2302,8319,8,Y,Yes,11,3,1,80,0,3,2,4,3,2,2,2,LinkedIn
31,Voluntary Resignation,Travel_Frequently,1060,Sales,1,3,Life Sciences,1,15262,138717,4,Female,54,3,1,Sales Representative,2,Single,2302,8319,1,Y,Yes,11,3,1,80,0,3,2,4,3,2,2,2,LinkedIn
31,Voluntary Resignation,Travel_Frequently,1060,Sales,1,3,Life Sciences,1,15264,138719,4,Female,54,3,1,Sales Representative,2,Single,2302,8319,8,Y,Yes,11,3,1,80,0,3,2,4,3,2,2,2,LinkedIn
31,Voluntary Resignation,Travel_Frequently,1060,Sales,1,3,Life Sciences,1,15268,138723,4,Female,54,3,1,Sales Representative,2,Single,2302,8319,1,Y,Yes,11,3,1,80,0,3,2,4,3,2,2,2,LinkedIn
31,Voluntary Resignation,Travel_Frequently,1060,Sales,1,3,Life Sciences,1,15269,138724,4,Female,54,3,1,Sales Representative,2,Single,2302,8319,8,Y,Yes,11,3,1,80,0,3,2,4,3,2,2,2,LinkedIn
31,Voluntary Resignation,Travel_Frequently,703,Sales,2,3,Life Sciences,1,15697,139152,3,Female,90,2,1,Sales Representative,4,Single,2785,11882,7,Y,No,14,4,3,80,0,3,3,4,1,0,0,0,GlassDoor
31,Voluntary Resignation,Travel_Frequently,703,Sales,2,3,Life Sciences,1,15699,139154,3,Female,90,2,1,Sales Representative,4,Single,2785,11882,8,Y,No,14,3,3,80,0,3,3,4,1,0,0,0,GlassDoor
31,Voluntary Resignation,Travel_Frequently,703,Sales,2,3,Life Sciences,1,15701,139156,3,Female,90,2,1,Sales Representative,4,Single,2785,11882,7,Y,No,14,3,3,80,0,3,3,4,1,0,0,0,GlassDoor
31,Voluntary Resignation,Travel_Frequently,703,Sales,2,3,Life Sciences,1,15702,139157,3,Female,90,2,1,Sales Representative,4,Single,2785,11882,8,Y,No,14,3,3,80,0,3,3,4,1,0,0,0,GlassDoor
31,Voluntary Resignation,Travel_Frequently,703,Sales,2,3,Life Sciences,1,15705,139160,3,Female,90,2,1,Sales Representative,4,Single,2785,11882,7,Y,No,14,4,3,80,0,3,3,4,1,0,0,0,GlassDoor
31,Voluntary Resignation,Travel_Frequently,703,Sales,2,3,Life Sciences,1,15707,139162,3,Female,90,2,1,Sales Representative,4,Single,2785,11882,8,Y,No,14,3,3,80,0,3,3,4,1,0,0,0,GlassDoor
31,Voluntary Resignation,Travel_Frequently,703,Sales,2,3,Life Sciences,1,15709,139164,3,Female,90,2,1,Sales Representative,4,Single,2785,11882,7,Y,No,14,3,3,80,0,3,3,4,1,0,0,0,GlassDoor
31,Voluntary Resignation,Travel_Frequently,703,Sales,2,3,Life Sciences,1,15710,139165,3,Female,90,2,1,Sales Representative,4,Single,2785,11882,8,Y,No,14,3,3,80,0,3,3,4,1,0,0,0,GlassDoor
31,Voluntary Resignation,Travel_Rarely,330,Research & Development,22,4,Medical,1,15774,139229,4,Male,98,3,2,Manufacturing Director,3,Married,6179,21057,1,Y,Yes,15,3,4,80,2,10,3,2,10,2,6,7,Seek
31,Voluntary Resignation,Travel_Rarely,330,Research & Development,22,4,Other,1,15777,139232,4,Male,98,3,2,Manufacturing Director,3,Married,6179,21057,1,Y,Yes,15,4,4,80,2,10,3,2,10,2,6,7,Seek
31,Voluntary Resignation,Travel_Rarely,330,Research & Development,22,4,Medical,1,15780,139235,4,Male,98,3,2,Manufacturing Director,3,Married,6179,21057,1,Y,Yes,15,3,4,80,2,10,3,2,10,2,6,7,Seek
31,Voluntary Resignation,Travel_Rarely,330,Research & Development,22,4,Other,1,15781,139236,4,Male,98,3,2,Manufacturing Director,3,Married,6179,21057,1,Y,Yes,15,3,4,80,2,10,3,2,10,2,6,7,Seek
31,Voluntary Resignation,Travel_Rarely,330,Research & Development,22,4,Medical,1,15782,139237,4,Male,98,3,2,Manufacturing Director,3,Married,6179,21057,1,Y,Yes,15,3,4,80,2,10,3,2,10,2,6,7,Seek
31,Voluntary Resignation,Travel_Rarely,330,Research & Development,22,4,Other,1,15785,139240,4,Male,98,3,2,Manufacturing Director,3,Married,6179,21057,1,Y,Yes,15,4,4,80,2,10,3,2,10,2,6,7,Seek
31,Voluntary Resignation,Travel_Rarely,330,Research & Development,22,4,Medical,1,15788,139243,4,Male,98,3,2,Manufacturing Director,3,Married,6179,21057,1,Y,Yes,15,3,4,80,2,10,3,2,10,2,6,7,Seek
31,Voluntary Resignation,Travel_Rarely,330,Research & Development,22,4,Other,1,15789,139244,4,Male,98,3,2,Manufacturing Director,3,Married,6179,21057,1,Y,Yes,15,3,4,80,2,10,3,2,10,2,6,7,Seek
31,Voluntary Resignation,Travel_Frequently,667,Sales,1,4,Life Sciences,1,16200,139655,2,Female,50,1,1,Sales Representative,3,Single,1359,16154,1,Y,No,12,3,2,80,0,1,3,3,1,0,0,0,Seek
31,Voluntary Resignation,Travel_Frequently,667,Sales,1,4,Life Sciences,1,16202,139657,2,Female,50,1,1,Sales Representative,3,Single,1359,16154,8,Y,No,12,3,2,80,0,1,3,3,1,0,0,0,Seek
31,Voluntary Resignation,Travel_Frequently,667,Sales,1,4,Life Sciences,1,16204,139659,2,Female,50,1,1,Sales Representative,3,Single,1359,16154,1,Y,No,12,3,2,80,0,1,3,3,1,0,0,0,Seek
31,Voluntary Resignation,Travel_Frequently,667,Sales,1,4,Life Sciences,1,16205,139660,2,Female,50,1,1,Sales Representative,3,Single,1359,16154,8,Y,No,12,3,2,80,0,1,3,3,1,0,0,0,Seek
31,Voluntary Resignation,Travel_Frequently,667,Sales,1,4,Life Sciences,1,16208,139663,2,Female,50,1,1,Sales Representative,3,Single,1359,16154,1,Y,No,12,3,2,80,0,1,3,3,1,0,0,0,Seek
31,Voluntary Resignation,Travel_Frequently,667,Sales,1,4,Life Sciences,1,16210,139665,2,Female,50,1,1,Sales Representative,3,Single,1359,16154,8,Y,No,12,3,2,80,0,1,3,3,1,0,0,0,Seek
31,Voluntary Resignation,Travel_Frequently,667,Sales,1,4,Life Sciences,1,16212,139667,2,Female,50,1,1,Sales Representative,3,Single,1359,16154,1,Y,No,12,3,2,80,0,1,3,3,1,0,0,0,Seek
31,Voluntary Resignation,Travel_Frequently,667,Sales,1,4,Life Sciences,1,16213,139668,2,Female,50,1,1,Sales Representative,3,Single,1359,16154,8,Y,No,12,3,2,80,0,1,3,3,1,0,0,0,Seek
31,Voluntary Resignation,Travel_Rarely,202,Research & Development,8,3,Life Sciences,1,16262,139717,1,Female,34,2,1,Research Scientist,2,Single,1261,22262,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Seek
31,Voluntary Resignation,Non-Travel,335,Research & Development,9,2,Medical,1,16263,139718,3,Female,82,2,1,Research Scientist,2,Single,1261,22262,1,Y,No,12,4,3,80,0,1,3,4,1,0,0,0,Seek
31,Voluntary Resignation,Travel_Rarely,202,Research & Development,8,3,Medical,1,16264,139719,1,Female,34,2,1,Research Scientist,2,Single,1261,22262,3,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Seek
31,Voluntary Resignation,Non-Travel,335,Research & Development,9,2,Medical,1,16265,139720,3,Female,82,2,1,Research Scientist,2,Single,1261,22262,3,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Seek
31,Voluntary Resignation,Travel_Rarely,202,Research & Development,8,3,Life Sciences,1,16266,139721,1,Female,34,2,1,Research Scientist,2,Single,1261,22262,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Seek
31,Voluntary Resignation,Non-Travel,335,Research & Development,9,2,Medical,1,16267,139722,3,Female,82,2,1,Research Scientist,2,Single,1261,22262,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Seek
31,Voluntary Resignation,Travel_Rarely,202,Research & Development,8,3,Medical,1,16268,139723,1,Female,34,2,1,Research Scientist,2,Single,1261,22262,3,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Seek
31,Voluntary Resignation,Non-Travel,335,Research & Development,9,2,Medical,1,16269,139724,3,Female,82,2,1,Research Scientist,2,Single,1261,22262,3,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Seek
31,Voluntary Resignation,Travel_Rarely,202,Research & Development,8,3,Life Sciences,1,16270,139725,1,Female,34,2,1,Research Scientist,2,Single,1261,22262,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Seek
31,Voluntary Resignation,Non-Travel,335,Research & Development,9,2,Medical,1,16271,139726,3,Female,82,2,1,Research Scientist,2,Single,1261,22262,1,Y,No,12,4,3,80,0,1,3,4,1,0,0,0,Seek
31,Voluntary Resignation,Travel_Rarely,202,Research & Development,8,3,Medical,1,16272,139727,1,Female,34,2,1,Research Scientist,2,Single,1261,22262,3,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Seek
31,Voluntary Resignation,Non-Travel,335,Research & Development,9,2,Medical,1,16273,139728,3,Female,82,2,1,Research Scientist,2,Single,1261,22262,3,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Seek
31,Voluntary Resignation,Travel_Rarely,202,Research & Development,8,3,Life Sciences,1,16274,139729,1,Female,34,2,1,Research Scientist,2,Single,1261,22262,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Seek
31,Voluntary Resignation,Non-Travel,335,Research & Development,9,2,Medical,1,16275,139730,3,Female,82,2,1,Research Scientist,2,Single,1261,22262,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Seek
31,Voluntary Resignation,Travel_Rarely,202,Research & Development,8,3,Medical,1,16276,139731,1,Female,34,2,1,Research Scientist,2,Single,1261,22262,3,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Seek
31,Voluntary Resignation,Non-Travel,335,Research & Development,9,2,Medical,1,16277,139732,3,Female,82,2,1,Research Scientist,2,Single,1261,22262,3,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Seek
31,Voluntary Resignation,Travel_Frequently,1445,Research & Development,1,5,Life Sciences,1,16538,139993,3,Female,100,4,3,Manufacturing Director,2,Single,7446,8931,1,Y,No,11,3,1,80,0,10,2,3,10,8,4,7,GlassDoor
31,Voluntary Resignation,Travel_Frequently,1445,Research & Development,1,5,Life Sciences,1,16540,139995,3,Female,100,4,3,Manufacturing Director,2,Single,7446,8931,1,Y,No,11,3,1,80,0,10,2,3,10,8,4,7,GlassDoor
31,Voluntary Resignation,Travel_Frequently,1445,Research & Development,1,5,Life Sciences,1,16542,139997,3,Female,100,4,3,Manufacturing Director,2,Single,7446,8931,1,Y,No,11,3,1,80,0,10,2,3,10,8,4,7,GlassDoor
31,Voluntary Resignation,Travel_Frequently,1445,Research & Development,1,5,Life Sciences,1,16543,139998,3,Female,100,4,3,Manufacturing Director,2,Single,7446,8931,1,Y,No,11,3,1,80,0,10,2,3,10,8,4,7,GlassDoor
31,Voluntary Resignation,Travel_Frequently,1445,Research & Development,1,5,Life Sciences,1,16546,140001,3,Female,100,4,3,Manufacturing Director,2,Single,7446,8931,1,Y,No,11,3,1,80,0,10,2,3,10,8,4,7,GlassDoor
31,Voluntary Resignation,Travel_Frequently,1445,Research & Development,1,5,Life Sciences,1,16548,140003,3,Female,100,4,3,Manufacturing Director,2,Single,7446,8931,1,Y,No,11,3,1,80,0,10,2,3,10,8,4,7,GlassDoor
31,Voluntary Resignation,Travel_Frequently,1445,Research & Development,1,5,Life Sciences,1,16550,140005,3,Female,100,4,3,Manufacturing Director,2,Single,7446,8931,1,Y,No,11,3,1,80,0,10,2,3,10,8,4,7,GlassDoor
31,Voluntary Resignation,Travel_Frequently,1445,Research & Development,1,5,Life Sciences,1,16551,140006,3,Female,100,4,3,Manufacturing Director,2,Single,7446,8931,1,Y,No,11,3,1,80,0,10,2,3,10,8,4,7,GlassDoor
31,Voluntary Resignation,Travel_Frequently,523,Research & Development,2,3,Life Sciences,1,16585,140040,2,Male,94,3,1,Laboratory Technician,4,Married,3722,21081,6,Y,Yes,13,3,3,80,1,7,2,1,2,2,2,2,Company Website
